Frequency,Station Call Letters,Station City,Station State/Province,Station Country,Concatenated Station Location,Station Lat,Station Long
530,CHLO,Brampton,ON,Canada,"Brampton, ON, Canada",43.685832,-79.759937
530,Radio Rebelde (530),Guantánamo,DX,Cuba,"Guantánamo, Cuba",19.918556,-75.159326
530,Radio Rebelde (530),Santa Fe/Caribe,DX,Cuba,"Santa Fe/Caribe, Cuba",23.128588,-82.269888
530,Radio Enciclopedia (530),Villa María,DX,Cuba,"Villa María, Cuba",23.10248,-82.287114
531,Radio Algeria Internactionale,F'Kirina,DX,Algeria,"F'Kirina, Algeria",35.660882,7.297224
531,DZBR,Tanauan,DX,Philippines,"Tanauan, Philippines",14.085236,121.152793
531,RNE Radio Nacional,Pontevedra,DX,Spain,"Pontevedra, Spain",42.428065,-8.604145
540,CBT,Grand Falls,NL,Canada,"Grand Falls, NL, Canada",48.929718,-55.655365
540,CBK,Watrous,SK,Canada,"Watrous, SK, Canada",51.675148,-105.465539
540,HJKA,Bogotá,DX,Colombia,"Bogota, Colombia",4.653382,-74.083633
540,Radio Rebelde (540),Maisi,DX,Cuba,"Maisi, Cuba",20.192364,-74.264526
540,Radio Rebelde (540),Sancti Spiritus,DX,Cuba,"Sancti Spiritus, Cuba",21.726128,-79.613293
540,Radio ABC,Santo Domingo,DX,Dominican Republic,"Santo Domingo, Dominican Republic",18.471386,-69.891844
540,YSHV,San Salvador,DX,El Salvador,"San Salvador, El Salvador",13.697629,-89.191156
540,Radio Kuwait,Kabd-Sulaibi,DX,Kuwait,"Kabd-Sulaibi, Kuwait",29.273396,47.497948
540,XEHS,Los Mochis,Sinaloa,Mexico,"Los Mochis, Sinaloa, Mexico",25.792806,-108.990188
540,XETX,Nuevo Casas Grandes,Chihuahua,Mexico,"Nuevo Casas Grandes, Chihuahua, Mexico",30.506296,-107.665426
540,XEWA,San Luis Potosí,San Luis Potosí,Mexico,"San Luis Potosí, San Luis Potosí, Mexico",22.151647,-100.976399
540,XESURF,Tijuana,Baja California,Mexico,"Tijuana, Baja California, Mexico",32.53174,-117.019529
540,XEWF,Tlalmanalco,Estado de México,Mexico,"Tlalmanalco, Estado de México, Mexico",19.206608,-98.732319
540,Radio Corporacion,Managua,DX,Nicaragua,"Managua, Nicaragua",12.154712,-86.273725
540,YNOW,Managua,DX,Nicaragua,"Managua, Nicaragua",12.154712,-86.273725
540,ONDA CERO BARCELONA,BARCELONA,DX,Spain,"BARCELONA, Spain",41.38258,2.177073
540,ONDA CERO BARCELONA,BARCELONA,DX,Spain,"BARCELONA, Spain",41.38258,2.177073
540,ONDA CERO BARCELONA,BARCELONA,DX,Spain,"BARCELONA, Spain",41.38258,2.177073
549,JIL FM,Sidi Hamadouche,DX,Algeria,"Sidi Hamadouche, Algeria",35.310682,-0.51844
549,JIL,Sidi Hamadouche,DX,Algeria,"Sidi Hamadouche, Algeria",35.310682,-0.51844
550,HJHF,Medellín,DX,Colombia,"Medellin, Colombia",6.269732,-75.60256
550,TISCL,Ciudad Quesada,DX,Costa Rica,"Ciudad Quesada, Costa Rica",10.32567,-84.430029
550,Radio Rebelde (550),Pinar Del Rio,DX,Cuba,"Pinar Del Rio, Cuba",22.312447,-83.938483
550,ABC Radio,Tegucigalpa,DX,Honduras,"Tegucigalpa, Honduras",14.105814,-87.204705
550,HRXT,Tegucigalpa,DX,Honduras,"Tegucigalpa, Honduras",14.105814,-87.204705
550,XEPL,Ciudad Cuauhtemoc,Chihuahua,Mexico,"Ciudad Cuauhtemoc, Chihuahua, Mexico",28.400958,-106.86653
550,XEGNAY,Tepic,Nayarit,Mexico,"Tepic, Nayarit, Mexico",21.511916,-104.891589
550,WPAB,Ponce,PR,Puerto Rico,"Ponce, PR, Puerto Rico",18.066822,-66.614041
550,YVKE,Caracas,DX,Venezuela,"Caracas, Venezuela",10.506093,-66.914601
558,Bangladesh Betar,Khulna-Noapara,DX,Bangladesh,"Khulna-Noapara, Bangladesh",23.050583,89.382463
560,CFOS,Owen Sound,ON,Canada,"Owen Sound, ON, Canada",44.567811,-80.943009
560,HJGS,Tunja,DX,Colombia,"Tunja, Colombia",5.532431,-73.361601
560,Radio Rebelde (560),Ciego de Ávila,DX,Cuba,"Ciego de Ávila, Cuba",21.747669,-78.731492
560,XEOC,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
560,XESRD,Santiago Papasquiano,Durango,Mexico,"Santiago Papasquiano, Durango, Mexico",23.658512,-102.00771
567,RTHK Radio 3,Hong Kong,DX,Hong Kong,"Hong Kong, Hong Kong",22.279297,114.162891
567,Lao National Radio,Vientiane,DX,Lao PDR,"Vientiane, Lao PDR",17.958218,102.616524
567,Radio Pakistan,Khuzdar,DX,Pakistan,"Khuzdar, Pakistan",27.800013,66.616654
570,CFCB,Corner Brook,NL,Canada,"Corner Brook, NL, Canada",48.95317,-57.947388
570,CKGL,Kitchener,ON,Canada,"Kitchener, ON, Canada",43.451291,-80.492782
570,CKSW,Swift Current,SK,Canada,"Swift Current, SK, Canada",50.284914,-107.79845
570,HJND,Bogotá,DX,Colombia,"Bogotá, Colombia",4.653382,-74.083633
570,Radio Rebelde (570),Pilon,DX,Cuba,"Pilon, Cuba",19.90587,-77.326925
570,Radio Reloj (570),Santa Clara,DX,Cuba,"Santa Clara, Cuba",22.40694,-79.96472
570,XELQ,Morelia,Michoacán,Mexico,"Morelia, Michoacán, Mexico",19.6546,-101.26238
570,XEOA,Oaxaca,Oaxaca,Mexico,"Oaxaca, Oaxaca, Mexico",17.060466,-96.725358
570,XEBJB,San Nicolás de los Garza,Nuevo Leon,Mexico,"San Nicolás de los Garza, Nuevo Leon, Mexico",25.755802,-100.289648
576,Myanma Radio,Yangon,DX,Myanmar,"Yangon, Myanmar",16.796713,96.160992
580,CHAH,Edmonton,AB,Canada,"Edmonton, AB, Canada",53.546205,-113.491241
580,CFRA,Ottawa,ON,Canada,"Ottawa, ON, Canada",45.420878,-75.690111
580,CKWW,Windsor,ON,Canada,"Windsor, Canada",42.317432,-83.026772
580,Union Radio,Guayaquil,DX,Ecuador,"Guayaquil, Ecuador",-2.190057,-79.886867
580,XEAV,Guadalajara,Jalisco,Mexico,"Guadalajara, Mexico",20.659698,-103.349609
580,XELRDA,Piedras Negras,Coahuila,Mexico,"Piedras Negras, Coahuila, Mexico",28.691341,-100.540341
580,Radio 580,Managua,DX,Nicaragua,"Managua, Nicaragua",12.154712,-86.273725
580,YNEA,Managua,DX,Nicaragua,"Managua, Nicaragua",12.154712,-86.273725
580,WKAQ,San Juan,DX,Puerto Rico,"San Juan, Puerto Rico",18.384239,-66.05344
585,Radio Pakistan,Laurencepur-Faqirabad Road,DX,Pakistan,"Laurencepur-Faqirabad Road, Pakistan",30.33084,71.247499
590,VOCM,St. Johns,NL,Canada,"St. Johns, NL, Canada",56.692284,-60.937319
590,CJCL,Toronto,ON,Canada,"Toronto, Canada",43.6532,-79.3832
590,Radio Rebelde (590),Guantánamo,DX,Cuba,"Guantánamo, Cuba",19.918556,-75.159326
590,Radio Musica Nacional (590),La Julia,DX,Cuba,"La Julia, Cuba",22.807753,-82.263363
590,HIDV,La Vega,DX,Dominican Republic,"La Vega, Dominican Republic",19.03115,-70.727425
590,XEE,Durango,Durango,Mexico,"Durango, Durango, Mexico",24.022008,-104.654741
590,XEPH,Mexico City,Ciudad Mexico,Mexico,"Mexico City, Ciudad Mexico, Mexico",19.43263,-99.133178
590,XEFD,Reynosa,Tamaulipas,Mexico,"Reynosa, Tamaulipas, Mexico",26.092837,-98.27795
594,JOAK,Tokyo,DX,Japan,"Tokyo, Japan",35.67686,139.763895
594,Myanma R-Paduk Myay R,Naypyidaw,DX,Myanmar,"Naypyidaw, Myanmar",19.775329,96.103255
600,CFQR,Montreal,QC,Canada,"Montreal, Canada",45.50888,-73.561668
600,CKAT,North Bay,ON,Canada,"North Bay, ON, Canada",46.309212,-79.460762
600,CJWW,Saskatoon,SK,Canada,"Saskatoon, SK, Canada",52.131802,-106.660767
600,CKSP,Vancouver,BC,Canada,"Vancouver, BC, Canada",49.260872,-123.113952
600,Radio Rebelde (600),San Germán,DX,Cuba,"San Germán, Cuba",20.598318,-76.134736
600,XEHW,El Rosario,Sinaloa,Mexico,"El Rosario, Sinaloa, Mexico",22.992052,-105.857275
