FREQ,CALL,STATE,CITY,PWR_D,PWR_N,PWR_C,MODE,LAT,LON,STATUS,CALL_HIST,County,FIPS,Format,Network/Slogan,Notes
540,WASG,AL,DAPHNE,2500.0,19.0,,,30.7458,-88.0944,LICEN,,Mobile,1097,BLK GSPL/RELIGION,,//W291CY 106.1
540,KRXA,CA,CARMEL VALLEY,10000.0,500.0,,,36.66,-121.5424,LICEN,"KPUP, KHKN, KIEZ, KSRK, KYAA, KSRK, KMEO, KXME",Monterey,6053,SPANISH RELIGION,ESNE RADIO,EX-KIEX/KYAA/KMEO/KXME
540,KVIP,CA,REDDING,2500.0,14.0,,,40.6235,-122.2814,LICEN,,Shasta,6089,RELIGION,SRN DISCIPLE RADIO,//FM 98.1
540,WFLF,FL,PINE HILLS,50000.0,46000.0,,,28.4817,-81.6618,LICEN,"WGTO, WWZN, WRTM, WQTM",Lake,12069,TALK,FOX NEWSRADIO WFLA,EX-WWZN/WQTM //W226BT 93.1
540,WDAK,GA,COLUMBUS,4000.0,38.0,,,32.4329,-84.9505,LICEN,"WMRY, WSTH",Muscogee,13215,NEWS/TALK,FOX WW1 NEWSRADIO 540,EX-WMRY/WSTH
540,KWMT,IA,FORT DODGE,5000.0,170.0,,,42.4958,-94.2094,LICEN,,Webster,19187,C&W,FOX TRUE COUNTRY,
540,KMLB,LA,MONROE,4000.0,26.0,,,32.6221,-92.0643,LICEN,KNOE,Ouachita,22073,NEWS/TALK,FOX NEWSTALK 105.7&540,EX-KNOE //K289CG 105.7
540,WGOP,MD,POCOMOKE CITY,500.0,243.0,,,38.0532,-75.5694,LICSL,WDMV,Worcester,24047,SILENT,SUNNY 106.5,DELETED //W293DN 106.5
540,WXYG,MN,SAUK RAPIDS,850.0,250.0,,,45.605,-94.1394,LICEN,"WXYG, WMIN, WPPI",Benton,27009,ROCK,THE GOAT,//W297BO 107.3
540,WRGC,NC,SYLVA,1000.0,187.0,,,35.3919,-83.2487,LICEN,,Jackson,37099,ADLT CONT,THE RIVER,//W289CK 105.7
540,WETC,NC,WENDELL-ZEBULON,10000.0,4400.0,,,35.8693,-78.4319,LICEN,,Wake,37183,RELIGION,EWTN SRN DIVINE MERCY,
540,KNMX,NM,LAS VEGAS,5000.0,20.0,,,35.5737,-105.1719,LICEN,,San Miguel,35047,SPANISH VARIETY,FOX K NEW MEXICO,//K260DJ 99.9
540,WBWD,NY,ISLIP,10000.0,220.0,,,40.7518,-73.2134,LICEN,"WLIX, WLUX, WLIE",Suffolk,36103,ETHNIC S. ASIAN,RADIO ZINDAGI,EX-WLUX/WLIE //WXMC-1310
540,WWCS,PA,CANONSBURG,5000.0,500.0,,,40.2895,-80.1851,LICEN,WARO,Washington,42125,RELIGION/BROKERED,,
540,WYNN,SC,FLORENCE,250.0,166.0,,,34.2182,-79.8081,LICEN,,Florence,45041,C&W,WW1 THE HOUND,
540,WKFN,TN,CLARKSVILLE,4000.0,55.0,,,36.542,-87.3256,LICEN,"WDXN, WJQI",Montgomery,47125,SPORTS,ESPN W1S THE FAN,EX-WDXN/WJQI //W281BT 104.1
540,KDFT,TX,FERRIS,1000.0,249.0,,,32.5146,-96.5742,LICEN,KLCA,Ellis,48139,SPANISH RELIGION,LA PODEROSA,
540,WGTH,VA,RICHLANDS,1000.0,97.0,,,37.0837,-81.7826,LICEN,WRIC,Tazewell,51185,S. GSPL/RELIGION,SRN THE SHEEP,EX-WRIC //FM 105.5
540,WAUK,WI,JACKSON,400.0,400.0,,,43.3333,-88.1531,LICEN,"WYLO, WZER, WYLO, WRRD, WYLO, WRRD",Washington,55131,TALK,NBC WW1 REAL NEWS,EX-WYLO/WRRD //W266DR 101.1
550,KTZN,AK,ANCHORAGE,5000.0,5000.0,,,61.1656,-149.8283,LICEN,KENI,Anchorage,2020,SPORTS,FSR THE ZONE,EX-KENI
550,KFYI,AZ,PHOENIX,5000.0,1000.0,,,33.3881,-112.0068,LICEN,"KOY, KGME, KGME",Maricopa,4013,NEWS/TALK,FOX VALLEYS TALK STN,EX-KOY/KGME
550,KUZZ,CA,BAKERSFIELD,5000.0,5000.0,,,35.3402,-118.9396,LICEN,"KAFY, KUZZ, KCWR",Kern,6029,C&W,BAKERSFIELDS BEST CTRY,EX-KCWR //FM 107.9
550,KLLV,CO,BREEN,1800.0,,,,37.1839,-108.0823,LICEN,,La Plata,8067,RELIGION,K LOVE,
550,KRAI,CO,CRAIG,5000.0,500.0,,,40.5458,-107.5317,LICEN,,Moffat,8081,C&W,WW1 55 COUNTRY,//K286CV 105.1
550,WAYR,FL,FLEMING ISLAND,5000.0,500.0,,,30.0728,-81.7898,LICEN,,Clay,12019,RELIGION,WAY RADIO,"//W277DE 103.3,W285FE 104.9"
