callsign,frequency,site,state,county_state,latitude,longitude,county,county_label,county_geoid
,,,AK,,,,,,
KAD93,162.525,H Street - Blaine Area,WA,WA,48.996278,-122.649167,Whatcom,Whatcom County,53073
KAD94,162.450,Turtleback Dome,CA,CA,37.712778,-119.704722,Mariposa,Mariposa County,06043
KAD95,162.450,Ryegate,MT,MT,46.283333,-109.162778,Golden Valley,Golden Valley County,30037
KAD96,162.500,Manleyville,AK,AK,57.105556,-134.816944,Sitka,Sitka City and Borough,02220
KAE42,162.500,New Kent County,VA,VA,37.4906,-77.0569,New Kent,New Kent County,51127
KBA99,162.550,Mt. Kaala,HI,HI,21.508442,-158.147742,Honolulu,Honolulu County,15003
KBS508,162.525,Parishville,NY,NY,44.598333,-74.776944,St. Lawrence,St. Lawrence County,36089
KC2XBZ,162.500,Gresham,WI,WI,44.8167,-88.8181,Shawano,Shawano County,55115
KDO89,162.550,Shrewsbury,IL,MO,38.580583,-90.32925,St. Louis,St. Louis County,29189
KDO94,162.400,Akron,OH,OH,41.0644,-81.5833,Summit,Summit County,39153
KDO95,162.550,Blackstrap Hill,ME,ME,43.7625,-70.325,Cumberland,Cumberland County,23005
KDX54,162.500,N. San Francisco Bay,CA,CA,38.059722,-122.605556,Marin,Marin County,06041
KE2XKP,162.525,Tomah,WI,WI,43.8956,-90.585,Monroe,Monroe County,55081
KEB97,162.400,Lake City,FL,FL,30.1939,-82.6347,Columbia,Columbia County,12023
KEB98,162.550,North Boston,NY,NY,42.636944,-78.768056,Erie,Erie County,36029
KEC38,162.450,Seminole,FL,FL,27.848056,-82.763333,Pinellas,Pinellas County,12103
KEC39,162.525,Cambridge,KS,NE,40.183167,-100.100667,Furnas,Furnas County,31065
KEC42,162.400,Blanton Heights,OR,OR,44.002472,-123.116278,Lane,Lane County,41039
KEC43,162.550,Anchorage,AK,AK,61.157038,-149.98741,Anchorage,Anchorage Municipality,02020
KEC49,162.550,Mt. Umunhum,CA,CA,37.155,-121.8983,Santa Clara,Santa Clara County,06085
