CALLSIGN,FREQ,SITENAME,SITELOC,ST,LAT,LON,PWR,STATUS,WFO,COUNTY
,,---No  NWR Coverage---,,AK,,,0,NORMAL,,Kusilvak|Lake and Peninsula|Valdez-Cordova|Rose Island|Swains Island|Trinity|Tuolumne|Chaffee|Hinsdale|Lake|Rio Blanco|San Juan|Chuuk|Kosrae|Pohnpei|Yap|Kalawao|Camas|Custer|Shoshone|Ailinginae|Ailinglaplap|Ailuk|Arno|Aur|Bikar|Bikini|Bokak|Ebon|Enewetak|Erikub|Jabat|Jaluit|Jemo|Kili|Kwajalein|Lae|Lib|Likiep|Majuro|Maloelap|Mejit|Mili|Namorik|Namu|Rongelap|Rongrik|Toke|Ujae|Ujelang|Utrik|Wotho|Wotje|Northern Islands|Catron|De Baca|Guadalupe|Quay|Socorro|Baker|Adjuntas|Arecibo|Ceiba|Ciales|Coamo|Culebra|Fajardo|Florida|Guayanilla|Jayuya|Juana Diaz|Lajas|Penuelas|Ponce|Salinas|Santa Isabel|Utuado|Vieques|Villalba|Aimeliik|Airai|Angaur|Hatobohei|Kayangel|Koror|Melekeok|Ngaraard|Ngarchelong|Ngardmau|Ngatpang|Ngchesar|Ngeremlengui|Ngiwal|Peleliu|Sonsorol|Duval|Edwards|Jim Hogg|Karnes|Lampasas|Reagan|Real|Terrell|Baker Island|Howland Island|Jarvis Island|Johnston Island|Kingman Reef|Midway Islands|Navassa Island|Palmyra Atoll|Wake Island|Piute|St. Croix|St. John
KAD93,162.525,H Street - Blaine Area,H Street - Blaine Area,WA,48.996278,-122.649167,124,NORMAL,Seattle/Tacoma|WA,San Juan|Whatcom
KAD94,162.450,Yosemite,Turtleback Dome,CA,37.712778,-119.704722,85,NORMAL,Hanford|CA,Mariposa
KAD95,162.450,Ryegate,Ryegate,MT,46.283333,-109.162778,300,NORMAL,Billings|MT,Golden Valley|Musselshell|Stillwater|Sweet Grass|Wheatland
KAD96,162.500,Manleyville,Manleyville,AK,57.105556,-134.816944,5,NORMAL,Juneau|AK,Petersburg
KAE42,162.500,Providence Forge,New Kent County,VA,37.4906,-77.0569,1000,NORMAL,Wakefield|VA,Charles City|City of Hopewell|City of Richmond|City of Williamsburg|Essex|Gloucester|Hanover|Henrico|James City|King and Queen|King William|Middlesex|New Kent|Prince George|Surry|York
KBA99,162.550,Oahu,Mt. Kaala,HI,21.508442,-158.147742,1000,NORMAL,Honolulu|HI,Honolulu
KBS508,162.525,White Hill,Parishville,NY,44.598333,-74.776944,300,NORMAL,Burlington|VT,Franklin|Jefferson|Lewis|St. Lawrence
KC2XBZ,162.500,Gresham,Gresham,WI,44.8167,-88.8181,300,NORMAL,Green Bay|WI,Menominee|Shawano|Waupaca
KDO89,162.550,St. Louis,Shrewsbury,IL,38.580583,-90.32925,1010,NORMAL,St. Louis|MO,Madison|Monroe|St. Clair|City of St. Louis|Franklin|Jefferson|Lincoln|St. Charles|St. Louis|Warren
KDO94,162.400,Akron,Akron,OH,41.0644,-81.5833,500,NORMAL,Cleveland|OH,Ashland|Carroll|Columbiana|Holmes|Mahoning|Medina|Portage|Stark|Summit|Trumbull|Tuscarawas|Wayne
KDO95,162.550,Falmouth,Blackstrap Hill,ME,43.7625,-70.325,500,NORMAL,Gray/Portland|ME,Androscoggin|Cumberland|Sagadahoc|York
KDX54,162.500,Big Rock Ridge,N. San Francisco Bay,CA,38.059722,-122.605556,75,NORMAL,San Francisco|CA,Contra Costa|Marin|Napa|San Francisco|San Mateo|Santa Clara|Sonoma
KE2XKP,162.525,Tomah,Tomah,WI,43.8956,-90.585,300,NORMAL,La Crosse|WI,Adams|Jackson|Juneau|La Crosse|Monroe|Vernon|Wood
KEB97,162.400,Lake City,Lake City,FL,30.1939,-82.6347,300,NORMAL,Jacksonville|FL,Columbia|Hamilton|Suwannee
KEB98,162.550,Buffalo,North Boston,NY,42.636944,-78.768056,330,NORMAL,Buffalo|NY,Allegany|Cattaraugus|Chautauqua|Erie|Genesee|Niagara|Orleans|Wyoming
KEC38,162.450,Largo,Seminole,FL,27.848056,-82.763333,1000,NORMAL,Tampa Bay Area|FL,Hillsborough|Manatee|Pasco|Pinellas
KEC39,162.525,Cambridge,Cambridge,KS,40.183167,-100.100667,347,NORMAL,Hastings|NE,Decatur|Norton|Frontier|Furnas|Gosper|Red Willow
KEC42,162.400,Eugene,Blanton Heights,OR,44.002472,-123.116278,114,NORMAL,Portland|OR,Benton|Lane|Linn
KEC43,162.550,Anchorage,Anchorage,AK,61.157038,-149.98741,300,NORMAL,Anchorage|AK,Anchorage|Kenai Peninsula|Matanuska-Susitna
KEC49,162.550,Monterey,Mt. Umunhum,CA,37.155,-121.8983,300,NORMAL,San Francisco|CA,Alameda|Contra Costa|Monterey|Napa|San Benito|San Francisco|San Mateo|Santa Clara|Santa Cruz
KEC50,162.475,West Palm Beach,Mangonia Park,FL,26.749722,-80.0675,1000,NORMAL,Miami|FL,Broward|Martin|Palm Beach|St. Lucie
KEC55,162.550,Fort Worth,Crowley,TX,32.536694,-97.413,1050,NORMAL,Fort Worth-Dallas|TX,Bosque|Collin|Dallas|Denton|Ellis|Erath|Hill|Hood|Johnson|Parker|Somervell|Tarrant|Wise
KEC56,162.400,Dallas,Dallas,TX,32.901278,-96.6872,1040,NORMAL,Fort Worth-Dallas|TX,Bosque|Collin|Dallas|Denton|Ellis|Hill|Hood|Hunt|Kaufman|Parker|Rockwall|Tarrant
KEC57,162.550,Sacramento,Fairplay,CA,38.5806,-120.615,300,NORMAL,Sacramento|CA,Amador|Calaveras|Colusa|El Dorado|Placer|Sacramento|San Joaquin|Solano|Stanislaus|Sutter|Yolo
KEC58,162.400,Erie,Erie,NY,42.063972,-80.005444,750,NORMAL,Cleveland|OH,Chautauqua|Ashtabula|Crawford|Erie|Venango|Warren
KEC59,162.550,Wichita,Wichita,KS,37.750611,-97.303667,1050,NORMAL,Wichita|KS,Butler|Cowley|Harper|Harvey|Kingman|Marion|McPherson|Reno|Sedgwick|Sumner
KEC60,162.400,Milwaukee,Delafield,WI,43.028272,-88.392525,1000,NORMAL,Milwaukee/Sullivan|WI,Dodge|Fond du Lac|Jefferson|Kenosha|Milwaukee|Ozaukee|Racine|Sheboygan|Walworth|Washington|Waukesha
KEC61,162.550,Mobile,Mobile,AL,30.659444,-87.8925,1000,NORMAL,Mobile|AL,Baldwin|Mobile|George|Jackson
KEC62,162.400,San Diego,Mt. Woodson,CA,33.0089,-116.972194,102,NORMAL,San Diego|CA,San Diego
KEC63,162.550,Detroit,Southfield,MI,42.483056,-83.205556,1000,NORMAL,Detroit/Pontiac|MI,Lenawee|Livingston|Macomb|Monroe|Oakland|St. Clair|Washtenaw|Wayne
KEC65,162.550,Minneapolis/St. Paul,Minneapolis,MN,44.968944,-93.207833,1020,NORMAL,Twin Cities/Chanhassen|MN,Anoka|Carver|Chisago|Dakota|Goodhue|Hennepin|Ramsey|Rice|Scott|Washington|Wright|Pierce|Polk|St. Croix
KEC73,162.550,Bourne/Hyannis,Camp Edwards,MA,41.707729,-70.564406,1000,NORMAL,Boston/Norton|MA,Barnstable|Bristol|Dukes|Nantucket|Plymouth
KEC74,162.550,Indianapolis,Indianapolis,IN,39.7675,-86.0025,1000,NORMAL,Indianapolis|IN,Boone|Decatur|Delaware|Hamilton|Hancock|Hendricks|Henry|Johnson|Madison|Marion|Morgan|Rush|Shelby|Tipton
KEC76,162.550,Denver,Glendale,CO,39.692087,-104.936663,330,NORMAL,Boulder|CO,Adams|Arapahoe|Broomfield|Clear Creek|Denver|Douglas|Elbert|Gilpin|Jefferson|Larimer|Park|Weld
KEC77,162.400,Saint Joseph,Wathena,KS,39.709639,-95.0425,1000,NORMAL,Kansas City|MO,Atchison|Doniphan|Andrew|Buchanan|Clinton|DeKalb|Holt|Platte
KEC78,162.550,Salt Lake City,Bacchus,UT,40.6272,-112.0572,300,NORMAL,Salt Lake City|UT,Box Elder|Davis|Salt Lake|Utah|Weber
KEC80,162.550,Atlanta,Stone Mtn.,GA,33.80525,-84.144333,569,NORMAL,Peachtree City|GA,Cherokee|Clayton|Cobb|DeKalb|Douglas|Fayette|Forsyth|Fulton|Gwinnett|Henry|Newton|Rockdale|Walton
KEC81,162.550,Seward,Spring Creek,AK,60.089345,-149.352763,300,NORMAL,Anchorage|AK,Kenai Peninsula
KEC82,162.400,Eureka,Mt. Pierce,CA,40.4175,-124.119167,300,NORMAL,Eureka|CA,Humboldt
KEC83,162.400,Baltimore,Pikesville,DC,39.386349,-76.730772,1000,NORMAL,Baltimore/Washington|VA,District of Columbia|Anne Arundel|Baltimore|Calvert|Carroll|City of Baltimore|Frederick|Harford|Howard|Kent|Montgomery|Prince Georges|Queen Annes|Talbot|Adams|York
KEC84,162.400,New Bern,Glenburnie Garden,NC,35.1344,-77.0631,1000,NORMAL,Newport/Morehead City|NC,Beaufort|Carteret|Craven|Duplin|Greene|Hyde|Jones|Lenoir|Martin|Onslow|Pamlico|Pitt
KEC85,162.400,Savannah,Ridgeland,GA,32.3289,-80.9378,1000,NORMAL,Charleston|SC,Bryan|Bulloch|Chatham|Effingham|Liberty|Beaufort|Jasper
KEC86,162.400,Pensacola,Milton,AL,30.588611,-87.070556,1000,NORMAL,Mobile|AL,Baldwin|Escambia|Okaloosa|Santa Rosa
KEC91,162.400,Astoria,Naselle Ridge,OR,46.4214,-123.796056,297,NORMAL,Portland|OR,Clatsop|Columbia|Grays Harbor|Pacific|Wahkiakum
KEC92,162.475,Salisbury,Delmar,DE,38.504444,-75.643056,1000,NORMAL,Wakefield|VA,Sussex|Calvert|Caroline|Dorchester|Queen Annes|Somerset|St. Marys|Talbot|Wicomico|Worcester|Accomack
KEC93,162.400,Ellsworth,Ellsworth,ME,44.545833,-68.511944,1000,NORMAL,Caribou|ME,Hancock|Penobscot|Waldo|Washington
KEC94,162.550,Phoenix,South Mtn.,AZ,33.332778,-112.066944,347,NORMAL,Phoenix|AZ,Maricopa|Pinal
KEC95,162.400,Aynor,Conway/Myrtle Beach,NC,33.950722,-79.108459,1000,NORMAL,Wilmington|NC,Brunswick|Columbus|Dillon|Florence|Georgetown|Horry|Marion|Williamsburg
KGG67,162.550,Panama City,Courtney Point,FL,30.1472,-85.7128,1000,NORMAL,Tallahassee|FL,Bay|Calhoun|Gulf|Holmes|Walton|Washington
KGG68,162.400,Tomball,Tomball,TX,30.0964,-95.6564,1000,NORMAL,Houston/Galveston|TX,Brazoria|Chambers|Fort Bend|Galveston|Harris|Liberty|Montgomery|Waller
KGG86,162.475,Fountain Hill,Fountain Hill,AR,33.3894,-91.853889,1000,NORMAL,Jackson|MS,Ashley|Bradley|Calhoun|Chicot|Cleveland|Desha|Drew|Union|Lincoln|Morehouse|West Carroll
KGG94,162.425,Poplar,Poplar,MT,48.290556,-105.251944,300,NORMAL,Glasgow|MT,McCone|Richland|Roosevelt
KGG95,162.425,Winona,Fountain City,MN,44.0739,-91.5775,300,NORMAL,La Crosse|WI,Winona|Buffalo|La Crosse|Trempealeau
KGG97,162.500,Bozeman,Courthouse,MT,45.679722,-111.041667,100,NORMAL,Great Falls|MT,Gallatin
KGG98,162.425,Halls Summit,Waverly,KS,38.335,-95.6744,1110,NORMAL,Topeka|KS,Allen|Anderson|Chase|Coffey|Douglas|Franklin|Greenwood|Lyon|Osage|Woodson
KGG99,162.425,Lexington,Lexington,NE,40.695028,-99.817389,405,NORMAL,Hastings|NE,Dawson|Frontier|Gosper|Phelps
KHA35,162.525,Orangeburg,Orangeburg,SC,33.543083,-80.824229,300,NORMAL,Columbia|SC,Bamberg|Calhoun|Clarendon|Dorchester|Orangeburg|Richland|Sumter
KHA46,162.450,Vale,Hollow Rock,KY,36.137194,-88.261,1000,NORMAL,Memphis|TN,Calloway|Benton|Carroll|Henry|Houston|Humphreys|Stewart|Weakley
KHA47,162.450,Baraboo,Baraboo,WI,43.427778,-89.653889,300,NORMAL,Milwaukee/Sullivan|WI,Adams|Columbia|Dane|Iowa|Juneau|Marquette|Richland|Sauk|Vernon
KHA53,162.400,Rochester,Fairport,NY,43.036111,-77.423333,500,NORMAL,Buffalo|NY,Cayuga|Genesee|Livingston|Monroe|Ontario|Orleans|Seneca|Wayne|Wyoming|Yates
KHA55,162.525,Oshkosh,Oshkosh (Ag.),NE,41.340278,-102.399167,1000,NORMAL,North Platte|NE,Deuel|Garden|Keith
KHA99,162.425,Muenster,Muenster,OK,33.64997,-97.339722,300,NORMAL,Fort Worth-Dallas|TX,Carter|Jefferson|Love|Cooke|Denton|Grayson|Montague|Wise
