Callsign,Relay of,Frequency,City,S/P,Country,Format,Slogan,ID,ERP-H,ERP-V,HAAT-H,HAAT-V,Lat-N,Long-W,Lang,Mode,PI Code,PS Info,Radiotext,PTY,Remarks,Decimal_Lat,Decimal_Lon,County,FIPS
WRME-LD,,87.7,CHICAGO,IL,USA,CLASSIC HITS,87.7 METV FM,128239,3.0,3.0,204.0,204.0,41-53-56,87-37-23,,,82C8,ME TVFM,Title & Artist,Soft Rock,,41.89888888888889,-87.62305555555555,Cook,17031.0
WMTO-LD,,87.7,NORFOLK,VA,USA,URBAN CONTEMPORARY,STREETZ 87.7 & 102.1,127802,3.0,3.0,207.0,207.0,36-48-44,76-27-44,,,7654,STREETZ,,Rhythm and Blues,,36.81222222222222,-76.46222222222222,Chesapeake,51550.0
WEYS-LD,,87.7,MIAMI,FL,USA,SPANISH RELIGIOUS,ALMAVISION,6035,3.0,3.0,232.0,232.0,25-58-15,80-12-32,Spanish,,3D44,WEYS87.7,Almavision radio -Comprometidos con la verdad,Religious Talk,,25.97083333333333,-80.2088888888889,Broward,12011.0
WTBS-LD,,87.7,ATLANTA,GA,USA,RHYTHM AND BLUES,87.7 THE VIBE,53584,3.0,3.0,-257.0,-257.0,33-44-41,84-21-36,Spanish,,AF87,VIBE,The Vibe R&B and Southern Soul,No Program Type or Undefined,,33.74472222222222,-84.36,Cobb,13067.0
WPGF-LD,,87.7,MEMPHIS,TN,USA,R&B OLDIES,RIGHT ON RADIO,23848,3.0,3.0,157.0,157.0,35-12-34,89-49-01,,,,,,,No RDS 1-14-2025,35.20944444444445,-89.81694444444445,Mississippi,5093.0
WDCN-LD,,87.7,FAIRFAX,VA,USA,CONTEMPORARY HIT RADIO,QUE ONDA,20450,3.0,3.0,71.0,71.0,38-52-28,77-13-24,Spanish,,,,,,No RDS 1-13-2025,38.87444444444444,-77.22333333333333,Fairfax,51059.0
WQSE-LD,,87.7,SYRACUSE,NY,USA,OLDIES,87.7 THE SPOT,14319,2.75,2.75,-61.0,-61.0,43-03-30,76-09-59,,,,,,,,43.05833333333333,-76.16638888888889,Onondaga,36067.0
KBKF-LD,,87.7,SAN JOSE,CA,USA,BOLLYWOOD,SUNO 87.7,127882,0.6,0.6,323.0,323.0,37-06-39,121-50-37,,,13AD,,,,,37.11083333333333,-121.8436111111111,Santa Clara,6085.0
KEFM-LD,,87.7,SACRAMENTO,CA,USA,VARIETY,ETHNO FM,127996,3.0,3.0,118.0,118.0,38-42-28,121-28-36,Other,,1B1E,KEFM,ETHNO FM,,1-06-2025 Russian,38.70777777777778,-121.47666666666667,Sacramento,6067.0
WNYZ-LD,,87.7,NEW YORK,NY,USA,VARIETY,RADIO KOREA,56043,3.0,3.0,192.0,192.0,40-44-50,73-56-37,Korean,,7985,WNYZ 87.7 FM VOICE OF NY RADIO KOREA,VOICE OF NY RADIO KOREA ON CH6 WNYZ-LD TV,News,,40.74722222222222,-73.94361111111111,Passaic,34031.0
KXDP-LD,,87.7,DENVER,CO,USA,REGIONAL MEXICAN,LA INVASORA,67552,3.0,3.0,2111.0,2111.0,39-54-48,105-17-33,Spanish,,4D19,,LA INVASORA 87.7 FM,Classical,,39.913333333333334,-105.2925,Adams,8001.0
KZNO-LD,,87.7,BIG BEAR LAKE,CA,USA,RELIGION/VARIETY,GUADALUPE RADIO,63149,3.0,3.0,785.0,785.0,34-12-46,118-03-45,Spanish,,5364,KZNO - Guadalupe Radio,KZNO - Guadalupe Radio,Spanish Talk,,34.21277777777778,-118.0625,Los Angeles,6037.0
KRPE-LD,,87.7,SAN DIEGO,CA,USA,RELIGION/VARIETY,GUADALUPE RADIO,129651,0.65,0.65,210.0,210.0,32-41-46,115-56-14,Spanish,,3E6E,Guadalupe Radio 87.7FM,Guadalupe Radio 87.7,Religious Music,,32.69611111111111,-115.93722222222223,Imperial,6025.0
KLVG-LD,,87.7,LAS VEGAS,NV,USA,CONTEMPORARY CHRISTIAN,K-LOVE,130027,3.0,3.0,-754.0,-754.0,35-56-46,115-02-37,,,A291,K-LOVE Positive Encouraging 87.7 FM,K-LOVE Positive Encouraging 87.7 FM,Religious Music,,35.94611111111111,-115.0436111111111,Clark,32003.0
