state,county,county_label,geoid
AK,Aleutians East,Aleutians East Borough,02013
AK,Aleutians West,Aleutians West Census Area,02016
AK,Anchorage,Anchorage Municipality,02020
AK,Bethel,Bethel Census Area,02050
AK,Bristol Bay,Bristol Bay Borough,02060
AK,Chugach,Chugach Census Area,02063
AK,Copper River,Copper River Census Area,02066
AK,Denali,Denali Borough,02068
AK,Dillingham,Dillingham Census Area,02070
AK,Fairbanks North Star,Fairbanks North Star Borough,02090
AK,Haines,Haines Borough,02100
AK,Hoonah-Angoon,Hoonah-Angoon Census Area,02105
AK,Juneau,Juneau City and Borough,02110
AK,Kenai Peninsula,Kenai Peninsula Borough,02122
AK,Ketchikan Gateway,Ketchikan Gateway Borough,02130
AK,Kodiak Island,Kodiak Island Borough,02150
AK,Kusilvak,Kusilvak Census Area,02158
AK,Lake and Peninsula,Lake and Peninsula Borough,02164
AK,Matanuska-Susitna,Matanuska-Susitna Borough,02170
AK,Nome,Nome Census Area,02180
AK,North Slope,North Slope Borough,02185
AK,Northwest Arctic,Northwest Arctic Borough,02188
AK,Petersburg,Petersburg Borough,02195
AK,Prince of Wales-Hyder,Prince of Wales-Hyder Census Area,02198
AK,Sitka,Sitka City and Borough,02220
AK,Skagway,Skagway Municipality,02230
AK,Southeast Fairbanks,Southeast Fairbanks Census Area,02240
AK,Wrangell,Wrangell City and Borough,02275
AK,Yakutat,Yakutat City and Borough,02282
AK,Yukon-Koyukuk,Yukon-Koyukuk Census Area,02290
AL,Autauga,Autauga County,01001
AL,Baldwin,Baldwin County,01003
AL,Barbour,Barbour County,01005
AL,Bibb,Bibb County,01007
AL,Blount,Blount County,01009
AL,Bullock,Bullock County,01011
AL,Butler,Butler County,01013
AL,Calhoun,Calhoun County,01015
AL,Chambers,Chambers County,01017
AL,Cherokee,Cherokee County,01019
AL,Chilton,Chilton County,01021
AL,Choctaw,Choctaw County,01023
AL,Clarke,Clarke County,01025
AL,Clay,Clay County,01027
AL,Cleburne,Cleburne County,01029
AL,Coffee,Coffee County,01031
AL,Colbert,Colbert County,01033
AL,Conecuh,Conecuh County,01035
AL,Coosa,Coosa County,01037
AL,Covington,Covington County,01039
AL,Crenshaw,Crenshaw County,01041
AL,Cullman,Cullman County,01043
AL,Dale,Dale County,01045
AL,Dallas,Dallas County,01047
AL,DeKalb,DeKalb County,01049
AL,Elmore,Elmore County,01051
AL,Escambia,Escambia County,01053
AL,Etowah,Etowah County,01055
AL,Fayette,Fayette County,01057
AL,Franklin,Franklin County,01059
AL,Geneva,Geneva County,01061
AL,Greene,Greene County,01063
